,#id,time,latitude [deg],latitude_uncertainty [km],depth_uncertainty [m],magnitude,Impact,magnitude_type,mode,event_type
0,20230123_111635_256,2023/01/22 02:51:40,18.84,4.611,4900.52,2.12,Faible,M,manual,earthquake
1,s2rhai2023bmpc,2023/01/22 02:48:05,18.833,2.145,2096.7,2.96,Faible,M,manual,earthquake
2,20230123_112133_029,2023/01/22 01:23:27,18.808,4.263,5063.54,2.18,Faible,M,manual,earthquake
3,s2rhai2023bmfg,2023/01/21 21:49:16,18.476,3.949,3439.09,2.69,Faible,M,manual,earthquake
4,20230123_113032_407,2023/01/21 05:53:21,18.642,5.083,2896.71,1.95,Tres faible,M,manual,earthquake
5,s2rhai2023bjjw,2023/01/20 08:44:13,18.553,2.718,2303.13,2.35,Faible,M,manual,earthquake
6,20230120_152315_507,2023/01/20 06:54:57,18.751,5.443,5079.75,2.5,Faible,M,manual,earthquake
7,20230120_133937_785,2023/01/20 04:50:02,19.101,5.451,16609.03,1.94,Tres faible,M,manual,earthquake
8,20230120_133217_991,2023/01/20 04:43:33,18.439,9.868,12181.22,2.29,Faible,M,manual,earthquake
9,20230120_144209_113,2023/01/20 03:33:39,18.698,5.46,5252.86,2.36,Faible,M,manual,earthquake
10,20230120_135828_146,2023/01/20 02:24:28,18.854,4.821,5824.21,1.94,Tres faible,MLv,manual,earthquake
11,s2rhai2023biiy,2023/01/19 19:08:04,18.454,2.691,1946.36,2.8,Faible,M,manual,earthquake
12,20230120_150045_124,2023/01/19 19:03:10,19.879,4.054,3439.26,2.28,Faible,M,manual,earthquake
13,20230120_145510_047,2023/01/19 19:00:50,20.061,7.588,3588.74,2.4,Faible,M,manual,earthquake
14,20230119_110816_350,2023/01/19 09:50:51,18.887,2.181,,2.41,Faible,M,manual,earthquake
15,20230120_063241_661,2023/01/19 09:16:52,18.309,4.469,4882.35,1.64,Tres faible,M,manual,earthquake
16,s2rhai2023bhpf,2023/01/19 09:10:49,18.463,2.709,2294.82,2.66,Faible,M,manual,earthquake
17,s2rhai2023bhez,2023/01/19 04:00:31,18.817,3.371,3873.77,2.75,Faible,M,manual,earthquake
18,s2rhai2023bgdv,2023/01/18 14:17:38,18.763,6.274,8989.58,2.74,Faible,M,manual,earthquake
19,s2rhai2023bgbx,2023/01/18 13:19:38,19.525,2.086,5851.33,2.84,Faible,M,manual,earthquake
20,20230119_112229_064,2023/01/18 13:18:39,18.764,6.805,9395.93,2.19,Faible,M,manual,earthquake
21,s2rhai2023bgbg,2023/01/18 12:58:43,18.828,2.47,2661.21,3.3,Faible,M,manual,earthquake
22,20230119_055338_066,2023/01/18 12:08:02,18.406,2.076,2097.7,2.29,Faible,M,manual,earthquake
23,s2rhai2023bflg,2023/01/18 04:54:10,18.803,3.385,3799.9,2.61,Faible,M,manual,earthquake
24,20230118_060507_591,2023/01/18 01:59:53,18.834,2.613,2828.49,2.74,Faible,M,manual,earthquake
25,20230118_055955_798,2023/01/18 00:08:10,18.748,4.575,4295.36,2.27,Faible,M,manual,earthquake
