## ================================================================================================================		
## Date de Création du fichier     : 2022-11-28		
## Auteur                          : Observatoire météorologique du petit-Séminaire Collège St Martial		
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)	
## Entité                          : URGEO - GEOAZUR - INRAE		
## ================================================================================================================		
## Nom station                     : MIREBALAIS		
## ----------------------------------------------------------------------------------------------------------------		
## Longitude                       : -72.117         	 (Moron et al., 2015 [°W])	
## Latitude                        : 18.833          	 (Moron et al., 2015 [°N])	
## Données manquantes              :   2             	 [%]	
## Pluies disponibles              : 1920-01-01      	 1940-12-31	
## ================================================================================================================		
## Champs----------------------------------------------------------------------------------------------------------		
## Date                            : date [AAAA-MM-JJ]		
## P                               : Pluie [mm/j]		
## ================================================================================================================		
## Moron, V., Frelat, R., Jean-Jeune, P.K., Gaucherel, C., 2015. Interannual and intra-annual variability of		
## rainfall in Haiti (1905–2005). Clim. Dyn. 45, 915–932. https://doi.org/10.1007/s00382-014-2326-y		
## ================================================================================================================		
		
Date		P
01/01/1920		0
02/01/1920		0
03/01/1920		0
04/01/1920		0
05/01/1920		0
06/01/1920		0
07/01/1920		0
08/01/1920		0
09/01/1920		0
10/01/1920		0
11/01/1920		0
12/01/1920		0
13/01/1920		0
14/01/1920		0
15/01/1920		0
16/01/1920		0
17/01/1920		0
18/01/1920		0
19/01/1920		0
20/01/1920		0
21/01/1920		0
22/01/1920		0
23/01/1920		0
24/01/1920		0
25/01/1920		0
26/01/1920		0
27/01/1920		4.3
28/01/1920		2
29/01/1920		0
30/01/1920		2.3
31/01/1920		4.3
01/02/1920		5.2
02/02/1920		3.2
03/02/1920		4.3
04/02/1920		7.2
05/02/1920		0
06/02/1920		0
07/02/1920		0
08/02/1920		0
09/02/1920		0
10/02/1920		0
11/02/1920		0
12/02/1920		0
13/02/1920		0
14/02/1920		0
15/02/1920		0
16/02/1920		3.2
17/02/1920		0
18/02/1920		0
19/02/1920		2.3
20/02/1920		4.2
21/02/1920		0
22/02/1920		0
23/02/1920		0
24/02/1920		0
25/02/1920		0
26/02/1920		0
27/02/1920		4.3
28/02/1920		3.2
29/02/1920		0
01/03/1920		0
02/03/1920		0
03/03/1920		0
04/03/1920		0
05/03/1920		0
06/03/1920		0
07/03/1920		3.2
08/03/1920		3.1
09/03/1920		0
10/03/1920		0
11/03/1920		0
12/03/1920		0
13/03/1920		2.3
14/03/1920		5.2
15/03/1920		3
16/03/1920		0
17/03/1920		0
18/03/1920		4.2
19/03/1920		0
20/03/1920		0
21/03/1920		0
22/03/1920		0
23/03/1920		0
24/03/1920		5.3
25/03/1920		6.1
26/03/1920		5.3
27/03/1920		0
28/03/1920		0
29/03/1920		0
30/03/1920		0
31/03/1920		0
01/04/1920		0
02/04/1920		0
03/04/1920		0
04/04/1920		0
05/04/1920		0
06/04/1920		0
07/04/1920		2
08/04/1920		0
09/04/1920		0
10/04/1920		0
11/04/1920		0
12/04/1920		3.2
13/04/1920		2.2
14/04/1920		3.4
15/04/1920		0
16/04/1920		0
17/04/1920		1.7
18/04/1920		4.3
19/04/1920		5.2
20/04/1920		0
21/04/1920		0
22/04/1920		0
23/04/1920		0
24/04/1920		0
25/04/1920		2.1
26/04/1920		0
27/04/1920		0
28/04/1920		0
29/04/1920		0
30/04/1920		3.2
01/05/1920		4.3
02/05/1920		4.2
03/05/1920		0
04/05/1920		0
05/05/1920		2.1
06/05/1920		0
07/05/1920		0
08/05/1920		0
09/05/1920		0
10/05/1920		0
11/05/1920		0
12/05/1920		2
13/05/1920		3.2
14/05/1920		5.3
15/05/1920		7.2
16/05/1920		0
