## ================================================================================================================
## Date de Création du fichier     : 2022-11-28
## Auteur                          : Observatoire météorologique du petit-Séminaire Collège St Martial
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)
## Entité                          : URGEO - GEOAZUR - INRAE
## ================================================================================================================
## Nom station                     : ST-MICHEL
## ----------------------------------------------------------------------------------------------------------------
## Longitude                       : -72.333         ; (Moron et al., 2015 [°W])
## Latitude                        : 19.367          ; (Moron et al., 2015 [°N])
## Données manquantes              :   3             ; [%]
## Pluies disponibles              : 1920-01-01      ; 1940-12-31
## ================================================================================================================
## Champs----------------------------------------------------------------------------------------------------------
## Date                            : date [AAAA-MM-JJ]
## P                               : Pluie [mm/j]
## ================================================================================================================
## Moron, V., Frelat, R., Jean-Jeune, P.K., Gaucherel, C., 2015. Interannual and intra-annual variability of
## rainfall in Haiti (1905–2005). Clim. Dyn. 45, 915–932. https://doi.org/10.1007/s00382-014-2326-y
## ================================================================================================================

Date;	P
1920-01-01;	0
1920-01-02;	0
1920-01-03;	0
1920-01-04;	0
1920-01-05;	0
1920-01-06;	0
1920-01-07;	0
1920-01-08;	0
1920-01-09;	0
1920-01-10;	0
1920-01-11;	0
1920-01-12;	0
1920-01-13;	0
1920-01-14;	0
1920-01-15;	0
1920-01-16;	0
1920-01-17;	0
1920-01-18;	0
1920-01-19;	0
1920-01-20;	0
1920-01-21;	0
1920-01-22;	0
1920-01-23;	0
1920-01-24;	0
1920-01-25;	0
1920-01-26;	0
1920-01-27;	0
1920-01-28;	0
1920-01-29;	0
1920-01-30;	0
1920-01-31;	0
1920-02-01;	3.4
1920-02-02;	0
1920-02-03;	44
1920-02-04;	3
1920-02-05;	0
1920-02-06;	0
1920-02-07;	0
1920-02-08;	0
1920-02-09;	0
1920-02-10;	0
1920-02-11;	0
1920-02-12;	0
1920-02-13;	0
1920-02-14;	0
1920-02-15;	0
1920-02-16;	0
1920-02-17;	0
1920-02-18;	4
1920-02-19;	0
1920-02-20;	0
1920-02-21;	0
1920-02-22;	0
1920-02-23;	0
1920-02-24;	0
1920-02-25;	0
1920-02-26;	0
1920-02-27;	4
1920-02-28;	0
1920-02-29;	0
1920-03-01;	14.4
1920-03-02;	0
1920-03-03;	0
1920-03-04;	0
1920-03-05;	0
1920-03-06;	0
1920-03-07;	14.4
1920-03-08;	0
1920-03-09;	0
1920-03-10;	0
1920-03-11;	0
1920-03-12;	0
1920-03-13;	0
1920-03-14;	4.3
1920-03-15;	0
1920-03-16;	0
1920-03-17;	0
1920-03-18;	0
1920-03-19;	0
1920-03-20;	0
1920-03-21;	0
1920-03-22;	0
1920-03-23;	0
1920-03-24;	5.4
1920-03-25;	0
1920-03-26;	0
1920-03-27;	0
1920-03-28;	0
1920-03-29;	0
1920-03-30;	0
1920-03-31;	0
1920-04-01;	0
1920-04-02;	0
1920-04-03;	0
1920-04-04;	0
1920-04-05;	0
1920-04-06;	0
1920-04-07;	0
1920-04-08;	0
1920-04-09;	0
1920-04-10;	0
1920-04-11;	0
1920-04-12;	0
1920-04-13;	0
1920-04-14;	0
1920-04-15;	0
1920-04-16;	0
1920-04-17;	0
1920-04-18;	0
1920-04-19;	0
1920-04-20;	0
1920-04-21;	0
1920-04-22;	0
1920-04-23;	0
1920-04-24;	0
1920-04-25;	0
1920-04-26;	0
1920-04-27;	0
1920-04-28;	0
1920-04-29;	0
1920-04-30;	0
1920-05-01;	27
1920-05-02;	0
1920-05-03;	0
1920-05-04;	0
1920-05-05;	2
1920-05-06;	0
1920-05-07;	7
1920-05-08;	0
1920-05-09;	0
1920-05-10;	4
1920-05-11;	0
1920-05-12;	0
1920-05-13;	0
1920-05-14;	9
1920-05-15;	12.6
1920-05-16;	7.4
1920-05-17;	0
1920-05-18;	28
1920-05-19;	81.4
1920-05-20;	0
1920-05-21;	0
1920-05-22;	0
1920-05-23;	3
1920-05-24;	0
1920-05-25;	10.2
1920-05-26;	0
1920-05-27;	0
1920-05-28;	0
1920-05-29;	0
1920-05-30;	0
1920-05-31;	8.4
1920-06-01;	0
1920-06-02;	0
1920-06-03;	0
1920-06-04;	30.4
1920-06-05;	0
1920-06-06;	13.2
1920-06-07;	0
1920-06-08;	6.4
1920-06-09;	5
1920-06-10;	0
1920-06-11;	34.4
1920-06-12;	0
1920-06-13;	9.2
1920-06-14;	0
1920-06-15;	0
1920-06-16;	0
1920-06-17;	0
1920-06-18;	0
1920-06-19;	0
1920-06-20;	0
1920-06-21;	0
1920-06-22;	0
1920-06-23;	0
1920-06-24;	0
1920-06-25;	0
1920-06-26;	0
1920-06-27;	41.4
1920-06-28;	0
1920-06-29;	27
1920-06-30;	0
1920-07-01;	0
1920-07-02;	0
1920-07-03;	0
1920-07-04;	0
1920-07-05;	0
1920-07-06;	18
1920-07-07;	0
1920-07-08;	0
1920-07-09;	0
1920-07-10;	0
1920-07-11;	3.4
1920-07-12;	0
1920-07-13;	0
1920-07-14;	4
1920-07-15;	0
1920-07-16;	8
1920-07-17;	0
1920-07-18;	0
1920-07-19;	0
1920-07-20;	18
1920-07-21;	0
1920-07-22;	0
1920-07-23;	20.4
1920-07-24;	0
1920-07-25;	0
1920-07-26;	13
1920-07-27;	0
1920-07-28;	0
1920-07-29;	8
1920-07-30;	0
1920-07-31;	0
1920-08-01;	0
1920-08-02;	19
1920-08-03;	0
1920-08-04;	0
1920-08-05;	0
1920-08-06;	32
1920-08-07;	22
1920-08-08;	0
1920-08-09;	0
1920-08-10;	0
1920-08-11;	0
1920-08-12;	0
1920-08-13;	0
1920-08-14;	0
1920-08-15;	0
1920-08-16;	0
1920-08-17;	0
1920-08-18;	0
1920-08-19;	0
1920-08-20;	0
1920-08-21;	0
1920-08-22;	10.6
1920-08-23;	0
1920-08-24;	0
1920-08-25;	0
1920-08-26;	0
1920-08-27;	0
1920-08-28;	0
1920-08-29;	6
1920-08-30;	0
1920-08-31;	0
1920-09-01;	0
1920-09-02;	0
1920-09-03;	0
1920-09-04;	0
1920-09-05;	10
1920-09-06;	0
1920-09-07;	0
1920-09-08;	0
1920-09-09;	0
1920-09-10;	12
1920-09-11;	0
1920-09-12;	0
1920-09-13;	0
1920-09-14;	0
1920-09-15;	0
1920-09-16;	0
1920-09-17;	5
1920-09-18;	0
1920-09-19;	24.4
1920-09-20;	0
1920-09-21;	30
1920-09-22;	16
1920-09-23;	36.2
1920-09-24;	0
1920-09-25;	0
1920-09-26;	0
1920-09-27;	0
1920-09-28;	44
1920-09-29;	25
1920-09-30;	16
1920-10-01;	4
1920-10-02;	13
1920-10-03;	3
1920-10-04;	0
1920-10-05;	7
1920-10-06;	0
1920-10-07;	8
1920-10-08;	4
1920-10-09;	0
1920-10-10;	0
1920-10-11;	12
1920-10-12;	46
1920-10-13;	0
1920-10-14;	10
1920-10-15;	0
1920-10-16;	0
1920-10-17;	0
1920-10-18;	15
1920-10-19;	2
1920-10-20;	10
1920-10-21;	0
1920-10-22;	0
1920-10-23;	4
1920-10-24;	0
1920-10-25;	0
1920-10-26;	0
1920-10-27;	0
1920-10-28;	0
1920-10-29;	0
1920-10-30;	2
1920-10-31;	22
1920-11-01;	0
1920-11-02;	0
1920-11-03;	0
1920-11-04;	0
1920-11-05;	0
1920-11-06;	0
1920-11-07;	0
1920-11-08;	0
1920-11-09;	0
1920-11-10;	0
1920-11-11;	0
1920-11-12;	0
1920-11-13;	0
1920-11-14;	0
1920-11-15;	0
1920-11-16;	0
1920-11-17;	0
1920-11-18;	0
1920-11-19;	0
1920-11-20;	0
1920-11-21;	0
1920-11-22;	0
1920-11-23;	0
1920-11-24;	18
1920-11-25;	0
1920-11-26;	0
1920-11-27;	0
1920-11-28;	0
1920-11-29;	0
1920-11-30;	0
1920-12-01;	0
1920-12-02;	0
1920-12-03;	0
1920-12-04;	0
1920-12-05;	0
1920-12-06;	0
1920-12-07;	0
1920-12-08;	0
1920-12-09;	0
1920-12-10;	0
1920-12-11;	0
1920-12-12;	0
1920-12-13;	0
1920-12-14;	0
1920-12-15;	0
1920-12-16;	0
1920-12-17;	6
1920-12-18;	0
1920-12-19;	0
1920-12-20;	0
1920-12-21;	0
