Date	Q	M_Debit_x	"	P"	M_Debit_y
1922-10-01	1.4124078788690877	0.95	10.7	0.28
1922-10-02	1.1102452097011926	0.16	7.5	0.79
1922-10-03	1.7712984054669705	0.12	2.4	0.68
1922-10-04	1.0430979498861048	0.22	0.0	0.77
1922-10-05	1.0430979498861048	0.64	0.0	0.36
1922-10-06	1.180865603644647	0.47	0.0	0.98
1922-10-07	1.0430979498861048	0.49	0.0	0.55
1922-10-08	1.0430979498861048	0.28	2.0	0.85
1922-10-09	1.1102452097011926	0.53	33.0	0.54
1922-10-10	1.0430979498861048	0.29	16.0	0.18
1922-10-11	0.9794238241993836	0.33	0.0	0.7
1922-10-12	1.0430979498861048	0.24	0.0	0.41
1922-10-13	1.1102452097011926	0.86	0.0	0.2
1922-10-14	1.0430979498861048	0.2	0.0	0.57
1922-10-15	0.9794238241993836	0.91	0.0	0.46
1922-10-16	0.9794238241993836	0.83	15.6	0.65
1922-10-17	1.0430979498861048	0.59	91.0	0.91
1922-10-18	0.9794238241993836	0.46	0.0	0.24
1922-10-19	1.0430979498861048	1.0	23.5	0.09
1922-10-20	1.0430979498861048	0.94	0.0	0.38
1922-10-21	0.9794238241993836	0.66	0.0	0.32
1922-10-22	0.9157496985126624	0.34	0.0	0.52
1922-10-23	0.9794238241993836	0.42	0.0	0.62
1922-10-24	0.9157496985126624	0.37	0.0	0.75
1922-10-25	0.9794238241993836	0.61	0.0	0.44
1922-10-26	0.9157496985126624	0.11	0.0	0.69
1922-10-27	0.9157496985126624	0.71	2.7	0.95
1922-10-28	0.9794238241993836	0.3	0.0	0.6
1922-10-29	0.9157496985126624	0.41	0.0	0.07
1922-10-30	0.8520755728259413	0.83	0.0	0.93
1922-10-31	0.8520755728259413	0.89	0.0	0.05
1922-11-01	0.7884014471392202	0.83	0.0	0.39
1922-11-02	0.6691571753986333	0.87	0.0	0.9
1922-11-03	0.6402143909955782	0.54	0.0	0.88
1922-11-04	0.582328822189468	0.21	0.0	0.72
1922-11-05	0.5533860377864129	0.06	0.0	0.09
1922-11-06	0.5256009647594801	0.43	0.0	0.12
1922-11-07	0.5256009647594801	0.51	0.0	0.72
1922-11-08	0.49897360310866945	0.06	0.0	0.39
1922-11-09	0.47234624145785875	0.99	0.0	0.24
1922-11-10	0.44687659118317036	0.22	0.0	0.03
1922-11-11	0.44687659118317036	0.35	0.0	0.12
1922-11-12	0.44687659118317036	0.56	0.0	0.59
1922-11-13	0.5256009647594801	0.94	0.0	0.88
1922-11-14	0.49897360310866945	0.24	0.0	0.1
1922-11-15	0.44687659118317036	0.79	0.0	0.85
1922-11-16	0.42140694090848185	0.69	0.0	0.53
1922-11-17	0.42140694090848185	0.82	0.0	0.48
1922-11-18	0.39593729063379346	0.52	0.0	0.08
1922-11-19	0.39593729063379346	0.15	0.0	0.26
1922-11-20	0.39593729063379346	0.48	0.0	0.47
1922-11-21	0.39593729063379346	0.33	0.0	0.54
1922-11-22	0.39593729063379346	0.9	0.0	0.51
1922-11-23	0.3727830631113494	0.48	0.0	0.77
1922-11-24	0.3727830631113494	0.29	0.0	0.38
1922-11-25	0.3727830631113494	0.01	0.0	1.0
1922-11-26	0.3727830631113494	0.27	0.0	0.61
1922-11-27	0.3496288355889053	0.41	0.0	0.72
1922-11-28	0.6402143909955782	0.88	0.0	0.34
1922-11-29	0.49897360310866945	0.52	0.0	0.89
